2705	Cardiology and Cardiovascular Medicine	Life Sciences:Cardiology
1306	Cancer Research	Life Sciences:Cancer Research/Oncology
2730	Oncology	Life Sciences:Cancer Research/Oncology
2917	Oncology(nursing)	Life Sciences:Cancer Research/Oncology
1110	Plant Science	Life Sciences:Botany/Plant Science
1305	Biotechnology	Life Sciences:Biotechnology
1304	Biophysics	Life Sciences:Biophysics
1301	Biochemistry, Genetics and Molecular Biology (miscellaneous)	Life Sciences:Biochemistry
1303	Biochemistry	Life Sciences:Biochemistry
1308	Clinical Biochemistry	Life Sciences:Biochemistry
3403	Food Animals	Life Sciences:Animal Health
3404	Small Animals	Life Sciences:Animal Health
1101	Agricultural and Biological Sciences (miscellaneous)	Life Sciences:Agriculture
2213	Safety, Risk, Reliability and Quality	Engineering:Quality control
2104	Nuclear Energy and Engineering	Engineering:Nuclear Engineering
2210	Mechanical Engineering	Engineering:Mechanical engineering
1909	Geotechnical Engineering and Engineering Geology	Engineering:Geotechnical Engineering
2208	Electrical and Electronic Engineering	Engineering:Electrical engineering
2205	Civil and Structural Engineering	Engineering:Civil/Structural Engineering
1502	Bioengineering	Engineering:Biomedical Engineering
2204	Biomedical Engineering	Engineering:Biomedical Engineering
2203	Automotive Engineering	Engineering:Automotive engineering
2201	Engineering (miscellaneous)	Engineering
1104	Aquatic Science	Earth, Environment & Energy:Water Quality
2312	Water Science and Technology	Earth, Environment & Energy:Water Quality
2311	Waste Management and Disposal	Earth, Environment & Energy:Waste Management
1111	Soil Science	Earth, Environment & Energy:Soil Science
1913	Stratigraphy	Earth, Environment & Energy:Seismology
2105	Renewable Energy, Sustainability and the Environment	Earth, Environment & Energy:Renewables
1910	Oceanography	Earth, Environment & Energy:Oceanography
1908	Geophysics	Earth, Environment & Energy:Geophysics
3305	Geography, Planning and Development	Earth, Environment & Energy:Geography
2715	Gastroenterology	Earth, Environment & Energy:Gas
2305	Environmental Engineering	Earth, Environment & Energy:Environmental Engineering
2309	Nature and Landscape Conservation	Earth, Environment & Energy:Ecology & Conservation
1902	Atmospheric Science	Earth, Environment & Energy:Atmospheric Sciences
3102	Acoustics and Ultrasonics	Earth, Environment & Energy:Acoustics
1901	Earth and Planetary Sciences (miscellaneous)	Earth, Environment & Energy
2101	Energy (miscellaneous)	Earth, Environment & Energy
2301	Environmental Science (miscellaneous)	Earth, Environment & Energy
2911	Leadership and Management	Clinical:Project Management
1607	Spectroscopy	Chemistry:Spectroscopy
1508	Process Chemistry and Technology	Chemistry:Process Chemistry
2507	Polymers and Plastics	Chemistry:Polymer Chemistry
1606	Physical and Theoretical Chemistry	Chemistry:Physical Chemistry
3003	Pharmaceutical Science	Chemistry:Pharmaceutical Chemistry
1605	Organic Chemistry	Chemistry:Organic Chemistry
3106	Nuclear and High Energy Physics	Chemistry:Nuclear & Technology
1312	Molecular Biology	Chemistry:Molecular Chemistry
1313	Molecular Medicine	Chemistry:Molecular Chemistry
2704	Biochemistry, medical	Chemistry:Medicinal Chemistry
2501	Materials Science (miscellaneous)	Chemistry:Materials Science
1604	Inorganic Chemistry	Chemistry:Inorganic Chemistry
1906	Geochemistry and Petrology	Chemistry:Geochemistry
1106	Food Science	Chemistry:Food Science & Nutrition
2916	Nutrition and Dietetics	Chemistry:Food Science & Nutrition
2304	Environmental Chemistry	Chemistry:Environmental Chemistry
1501	Chemical Engineering (miscellaneous)	Chemistry:Chemical Engineering
1503	Catalysis	Chemistry:Catalysis
1602	Analytical Chemistry	Chemistry:Analytical Chemistry
1601	Chemistry (miscellaneous)	Chemistry
